paper_name,current_A,voltage_V,travel_speed,oxygen_ppm,penetration_mm,hardness_HV,ferrite_FN,heat_input,context_sentences,detected_fluxes
tseng2014.pdf,"150, 180, 100",,140,"300, 92, 70",,,"33, 5.3, 5, 0.4, 31603",,"SiO and Al O were used to investigate the effects of
2 2 3
the thermal stability and the particle size of the activated compounds on the surface
appearance, geometric shape, angular distortion, delta ferrite content and Vickers hardness
of the UNS S31603 stainless steel TIG weld. | Compared with
microparticle SiO , the TIG welding with nanoparticle SiO has the potential benefits of
2 2
high joint penetration and less angular distortion in the resulting weldment. | The TIG
welding with nanoparticle Al O does not result in a significant increase in the penetration
2 3
or reduction of distortion. | The TIG welding with microparticle or nanoparticle SiO uses a
2
heat source with higher power density, resulting in a higher ferrite content and hardness of
the stainless steel weld metal. | Compared with oxide particle size, the thermal stability of the oxide plays a significant role
in enhancing the joint penetration capability of the weld, for the UNS S31603 stainless
steel TIG welds made with activated oxides. | The low productivity of TIG welding results from a combination of a low
deposition rate and shallow joint penetration. | This can be accomplished by a number of technologies, including coated activated fluxes (such as
oxides or sulfides) on the steel plate surface [1–10] or added active gases (such as oxygen, carbon
dioxide or sulfur dioxide) to an inert gas [11–13]. | The TIG welding with activated flux is a notable arc
welding that can dramatically increase the joint penetration. | Moreover, the heat-to-heat variations in weld depth for
some stainless steels or nickel-based alloys can be eliminated by using an activated flux. | Thus, this
method of improving both the amount and consistency of the joint penetration in the TIG weld may
provide a significant economic benefit to the manufacturing industry.",
Effect of post-weld heat treatment on the microstructure and tensile properties of electron-beam-welded 21st century nickel-based super alloy 686.pdf,,,,,,,,,,
Influence of Activated flux.pdf,"350, 170",,,,"5, 6",,"304, 1.122",,"Submit your article to this journal
Article views: 570
View related articles
View Crossmark data
Citing articles: 8 View citing articles
Full Terms & Conditions of access and use can be found at
https://www.tandfonline.com/action/journalInformation?journalCode=lmmp20
MaterialsandManufacturingProcesses,30:1115–1123,2015
Copyright#Taylor&FrancisGroup,LLC
ISSN:1042-6914print=1532-2475online
DOI:10.1080/10426914.2014.973591
Influence of Current and Shielding Gas in TiO Flux Activated TIG
2
Welding on Different Graded Steels
Surinder Tathgir, Anirban Bhattacharya, and Tarun Kumar Bera
Mechanical Engineering Department, Thapar University, Patiala, Punjab, India
Intungsteninertgas(TIG)welding,limiteddepthofpenetrationcanbeachievedduringsinglepasswelding.Toachievethedesireddepth
ofpenetration,thespeedofweldingneedstobesignificantlyreducedandhence,theproductivitydecreases.Inthepresentwork,theeffectof
TiO activatedfluxonpenetrationisevaluatedfordifferentworkpiecesnamelyAISI1020,AISI304,AISI316,andDuplex2205steelsat
2
differentcurrentsandshieldinggascompositions.Theresultsshowasignificantincreaseinthedepthofpenetrationandreductioninthe
width-to-penetration ratio using the activated flux for all the workpiece materials considered here. | Current increases the depth of
penetration,however,theinfluenceoffluxbecomesmoresignificantwithhigherweldingcurrent.Maximumof37.8%,44.3%,47%,and
124%increaseindepthsofpenetrationismeasuredforAISI1020,AISI304,AISI316,andDuplex2205steels,respectively,whenactivated
fluxisused.Also,maximumof70%increaseinthedepthofpenetrationisfurtherachievedwhenAralongwith5%H isusedastheshield-
2
inggascomparedtothatwhenpureArisused.Theconstrictionofarccolumnincreasestheenergydensity,whichincreasesthedepthof
penetration.MeasurementofmicrohardnessandmetallurgicalobservationsarecarriedoutforsamplesafterTIGweldingandactivated
tungsteninertgas(ATIG)weldingandcomparedtoobservethesolidificationphenomenonduringtheprocess. | Keywords Activatedflux;Arc-column;Current;Gas;Microstructure;Penetration;Shielding;Steels;TIG. | INTRODUCTION reasonably and increases bead penetration marginally
in comparison to argon. | A modification over the con-
Gas tungsten arc welding (GTAW) or tungsten inert
ventional TIG where a fine layer of activated flux
gas (TIG) welding is one of the commonly used fusion
welding processes capable of producing high quality (called activated TIG; ATIG) is used, increases the
penetration depth. | [3] evaluated the
joints with good appearance for similar, and dissimilar
effects of fluxes and other parameters on penetration
metals on a wide variety of ferrous and non-ferrous
metals. | Variation
of flux compositions showed that it is possible to
lesssteelsfindapplicationsinindustrieslikeautomotive,
machinetool,construction,chemical,transport=storage, achievefullpenetration(on5mmthickplates)andcon-
pressurevessels,paperandpulp,mining,etc.Highquality cluded that as compared to conventional TIG, ATIG
(with single component flux) adequately improves the
TIG welding of such materials at faster productivity is
performance, resulting in increased depth of pen-
continuously investigated. | ture of fluxes on penetration and penetration-to-width
ratio was investigated for the inconel alloy, and it
Thewelding quality isstronglycharacterizedbythe weld
was observed that single and mixed component fluxes
bead geometry. | The depth of penetration is the key con-
cern during welding and as a whole the weld bead of SiO 2 , NiO, and MoO 3 increase the depth of pen-
geometry plays an important role in determining the etration [4]. | However, the cant increase in the penetration depth on 9Cr–1Mo
shallow depth of penetration (especially in single pass), steel with 6mm thickness [5].",
Activated TIG welding of IN617-P91.pdf,"1, 617",9,1,,7.49,"8, 7, 2, 287, 3","10, 11, 9, 92",,"A-TIG welding trials were conducted on an 8 mm thick plate, and complete penetration was
achieved using this optimized flux configuration. | Vickers microhardness measurements revealed a hardness of 192 ± 8 HV in
the weld metal, while hardness values of 397 ±3 HV, 385 ±7 HV, and 232 ±2 HV were recorded in the CGHAZ,
FGHAZ, and ICHAZ of P91 steel, respectively. | The highest hardness was observed in the CGHAZ compared to the
other regions of the P91 HAZs. | The hardness of the IN617 HAZ was measured as 262 ±3 HV, which is slightly
higher than that of the IN617 base metal (257 ±2 HV). | Although GTAW offers numerous benefits, it has certain limita-
because it produces strong, seamless joints that are less susceptible to tions, particularly regarding depth of penetration. | Gas tungsten arc welding (GTAW) that GTAW of steel usually restrict complete depth of penetration in the
uses a non-consumable tungsten electrode; while using novel gases such weld joint with a maximum thickness of 3 mm with a slower welding
as helium (He) or argon (Ar), the inert gas provides the protection of the speed. | M a t e r i a l s T o d a y C o m m u n i c a t i o ns 51 (2026) 114863
helium mixture depth of penetration can be slightly increased, i.e., high-quality joining of nickel-based superalloys and Ferritic steels [25]. | The possibility of increasing the depth of penetration by A-TIG helps to overcome the limitations of conventional TIG welding. | choosing a shielding combination is additionally constrained by the A-TIG will provide deeper penetration, better efficiency, and improved
requirement to employ inert gases, which restricts the options to He and weld quality, and all these factors are essential for critical structure
Ar, as well as their associated combinations. | Dissimilar metal joints are widely used in Advanced
surfaces and no groove, one weld pass yields a penetration of around Ultra-Supercritical (A-USC) boilers, gas turbines, and heat exchangers,
3 mm, necessitating multiple weld passes for thick material, thereby where both thermal and mechanical gradients are experienced by
increasing the expense and weld duration.",
Performance of activated TIG welding in 304 austenitic.pdf,"80, 160",,100,,3,319,,,"The
results indicated that there was a significant increase in penetration depth on using metal oxides but Al O does not give
2 3
satisfactory result. | Keywords:Activated flux, autogenous TIG welding, penetration depth, heat affected zone;
1. | In spite of having so many advantages it
has severe disadvantage of shallow penetration depth. | The first
attempt toward achieving more penetration was done by E.O. | They
named it as activated TIG welding (A-TIG) welding and found that the application thin layer of flux prior to weld
increases the penetration up to three times. | But they did not disclose the exact composition of that flux due to
commercial reason.The related literatures offers the limited data on the composition of the flux although some of
authors used single component flux [5-7] and some of them used more than one flux [8-9] while some of the
researchers were mixed hydrogen, oxygen or carbon dioxide in shielding gas in different composition to get the
higher penetration [10].All of them were found that there was a significant increase in penetration depth on using
flux. | The base metal contains very negligible amount of sulfur to reduce the effect of
sulfur on penetration. | The hardness test was done on the Vickers
micro hardness tester (ECONOMET VH-MD). | Results and discussion
3.1 Effect of current on penetration
Fig. | 1 shows that in conventional TIG welding when we increase the current from 80 A to 140 A penetration
depth increases but further increment in current does not increase penetration although weld width increases.",
ATIG full.pdf,"300, 200, 230","2.5, 40, 1, 2",20,,"8, 5",,"8, 230",,"The activated flux TIG
(ATIG)weldingprocess,developedbythePatonWeldingInstituteinthe1960s,isnowconsideredasafeasiblealternativetoincreasethe
process productivity. | ATIG welding uses a thin layer of an activeflux that results in a great increase in weld penetration. | The changes in weld geometry were compared to variations in the
electricalsignalsfromthearcandthearcshape.Theeffectofthefluxontheweldmicrostructurewasalsostudied.Theresultsindicatethat
even thevery simple flux that was used can greatly increase the penetration of theweld bead. | Introduction partoftheshieldinggasmixture,beadpenetrationcanonly
be increased slightly (1–2mm) [1,2]. | The capacity to
TheTIGweldingprocess(orGTAW)isusedwhenagood improve the penetration by the selection of the shielding
weldappearanceandahighqualityoftheweldarerequired. | However, plasma
ThemaindisadvantagesoftheTIGprocessinclude:(a)its welding is much more complexand presents greater initial
relatively shallow penetration capability, particularly in and operational costs than that for the TIG process. | This process is charac-
shielding,fullpenetrationweldingisrestrictedtojointsofa terized by the application of a fine layer of a flux on the
maximumthicknessof3mmandtorelativelylowwelding surfaceofthebasemetal.Duringwelding,theheatofthearc
speed. | As a result, the
stantially(upto160%)whenheliumorhydrogenisusedas penetration of the weld bead can be increased greatly and
itssensibilitytothechemicalcompositionofthebasemetal
reduced.Resultsfromtheliteratureindicatethatjointswith
athicknessof6mm,orevenof10mm,canbeweldedina
*Correspondingauthor.Tel.:(cid:135)55-31-238-1727;fax:(cid:135)55-31-238-1815. | PII:S0924-0136(99)00435-5
P.J.Modenesietal./JournalofMaterialsProcessingTechnology99(2000)260–265 261
Someauthors[1,3–7]associatethegreaterpenetrationof
ATIGweldingtoaconstrictionoftheelectricarccausedby
thepresenceofsomecomponentsoftheflux(mainlyoxygen
andfluorine)inthearc.Thiseffectwouldincreasetheanode
currentdensityandthearcforceactingontheweldingpool
and,thereforethepenetrationoftheweldingbead,similarly
Fig.1. | been proposed that the increase in weld penetration results
fromachangeintheliquidflowoftheweldpoolduetothe
flux interacting with the liquid metal.",
Electrostatic probe analysis of SiO2 activating flux powders transition.pdf,160,"3.26, 25",,5,,,,,"JournalofManufacturingProcesses84(2022)600–609
Contents lists available at ScienceDirect
Journal of Manufacturing Processes
journal homepage: www.elsevier.com/locate/manpro
Electrostatic probe analysis of SiO activating flux powders transition
2
behavior in Powder Pool Coupled Activating TIG alternating current arc
plasma for aluminum alloy
Yong Huanga,b,*, Qianpeng Lia, Xupu Xuea, Hang Xua, Jiankang Huangb,**, Ding Fana,b
aSchool of Materials Science and Engineering, Lanzhou University of Technology, Lanzhou 730050, China
bState Key Laboratory of Advanced Processing and Recycling of Non-Ferrous Metals, Lanzhou University of Technology, Lanzhou 730050, China
A R T I C L E I N F O A B S T R A C T
Keywords: In alternating current Powder Pool Coupled Activating TIG welding for aluminum alloy, activating flux powders
Powder Pool Coupled Activating TIG are transferred into the arc-pool coupling system through the outer gas to dramatically improve the weld
Arc plasma penetration. | The transition behavior of activating flux powders affects the weld penetration and forming
Arc compression
Electrostatic probe
intensely. | Compared with
traditional TIG welding, the transition of activating flux powders makes the arc constrict, at the same time, the
temperature along the axial centerline of arc raises, and the arc voltage significantly increases, all of which
contributes to the obvious increase in weld penetration through SiO2 activating flux. | However, for
flux is coated on the surface of the welding plate to significantly increase aluminum alloys, these welding methods introducing O element through
the weld penetration under the condition of ensuring welding quality. | The mechanism of weld penetration increasing was believed to (Powder Pool Coupled Activating TIG) welding. | The interaction between the activating flux powders
this flux application process is difficult to realize automatic production and the arc-molten pool can significantly increase the weld penetration,
* Correspondence to: Y. | tionship between the content of O element in the molten pool metal and To reduce the interference of probe burning loss and surface sec-
the welding penetration. | Using this electrostatic probe instrument
activating flux powders causes an important influence on increasing to measure the saturated ion current and calculate the transverse di-
weld penetration and improving weld surface formation. | confirmed with the large drop technique, the surface tension tempera-
(b)PPCA-TIG welding using SiO2 ture coefficient can be reserved from negative to positive by introducing
oxygen element [28], but very little of oxygen (~5 ppm in general) is
Fig. | Weld penetration.",sio2
Evaluation of MIG welding process parameter using activated flux.pdf,,24,180,,,,,,"Available online at www.sciencedirect.com
ScienceDirect
Materials Today: Proceedings 5 (2018) 5208–5220 www.materialstoday.com/proceedings
ICMPC 2017
Evaluation of MIG welding process parameter using
Activated Flux on SS316L by AHP-MOORA method
Pavan G. | The process parameters such as welding speed, current, Arc voltage and response are welding
dimension such as depth of penetration, Bead width were studied. | AHP-MOORA and ASRS method was
2 2 3
applied to optimizing the MIG welding process parameters and result indicated the enhanced penetration in
weld achieved with use of fluxes Sio, Cr O. | On the basis of present result it is considered that the centripetal
2 2 3
Marangoni convection & Constricted arc as a mechanism in increasing the penetration of activated MIG
welding. | The metallurgical characteristic Hardness of weldment was evaluated using Vickers-Hardness. | Keywords: Actiavted Mig welding , Penetration, AHP, MOORA, ASRS. | The shielding gas can be both inert gas like argon and active gases like argon-
oxygen mixture and argon-carbon-dioxide.which are chemically reactive. | Oxide coating
consists of iron, chromium, silicon, titanium, manganese, nickel, cobalt, molybdenum and calcium
are reported to improve weld ability and increase the welding speed [1].Modnesi and Eusta [2]
studiedpenetration can be obtained in A-TIG welding using activated Fluxes.Shanping and
Hidetoshi [3] studied Cu O has a narrow effective flux-quantity range for the deep penetration. | 2
Zhang [4] studied Higher penetration Reduces B.W. | Liu and Cai [6] studiedFlux cored wire is
more effective to increasing penetration, 40% Mncl and 60% Zno make deep penetration.","sio2, al2o3"
Activating flux tungsten inert gas welding for enhanced weld.pdf,"160, 100, 125",,0.75,,6,,,,"Journal of Manufacturing Processes 22 (2016) 211–228
Contents lists available at ScienceDirect
Journal of Manufacturing Processes
j ourna l h o me page: www.elsevier.com/locate/manpro
Review
Activating flux tungsten inert gas welding for enhanced weld
penetration
R.S. | Despite
capable of offering a penetration up to 5–6 mm in a single pass weld, it could not find enough space in
industrial applications, primarily due to few inherent unfavorable features: (a) two-step nature of the
process, (b) poor weld-bead and (c) poor electrode life. | High penetration capability of A-TIG process has
fascinated researchers and renewed the research interest in last one decade. | In the present work, attempts
have been made to analyze and review the literature published with respect to (a) advancement of various
hypotheses to explain the reasons for high penetration achieved using A-TIG, (b) effect of input process
parameters related to GTAW and A-TIG, (c) effect of chemical composition and various alloying elements
in steel on penetration achieved by A-TIG, (d) feasibility studies of A-TIG on ferrous and non-ferrous
metals and (e) technological problems associated with A-TIG. | Reversal of the Marangoni convection . | Recent development in TIG process to enhance the depth of penetration . | Although the process attributes several advantages,
low weld penetration renders it less appropriate for industrial use. | To overcome the limitation of low penetration in a single pass,
groove design and Multipass is required to weld thick sections
which decrease productivity of the process. | Activated flux with GTA welding has
been successfully used to improve productivity of the process. | The first paper on the use of activated flux for welding with tung-
sten inert gas welding in argon shielding (TIG) process appeared in
the literature in the 1950s and 1960s.","tio2, sio2, cr2o3"
Study of the characteristics of duplex stainless steel activated tungsten inert.pdf,200,,150,,7.1,,"10, 52.3, 2205, 18",,"MaterialsandDesign32(2011)255–263
ContentslistsavailableatScienceDirect
Materials and Design
journal homepage: www.elsevier.com/locate/matdes
Study of the characteristics of duplex stainless steel activated tungsten inert
gas welds
Tsann-Shyi Cherna, Kuang-Hung Tsengb,*, Hsien-Lung Tsaia
aDepartmentofMechanicalEngineering,NationalTaiwanUniversityofScienceandTechnology,Taipei106,Taiwan
bDepartmentofMaterialsEngineering,NationalPingtungUniversityofScienceandTechnology,Pingtung912,Taiwan
a r t i c l e i n f o a b s t r a c t
Articlehistory: Thepurposeofthisstudyistoinvestigatetheeffectsofthespecificfluxesusedinthetungsteninertgas
Received6April2010 (TIG)processonsurfaceappearance,weldmorphology,angulardistortion,mechanicalproperties,and
Accepted31May2010 microstructureswhenwelding6mmthickduplexstainlesssteel.Thisstudyappliesanovelvariantof
Availableonline4June2010
theautogenousTIGwelding,usingoxidepowders(TiO ,MnO ,SiO ,MoO ,andCr O ),tograde2205
2 2 2 3 2 3
stainlesssteelthroughathinlayerofthefluxtoproduceabead-on-platejoint.Experimentalresultsindi-
Keywords: catethatusingSiO ,MoO ,andCr O fluxesleadstoasignificantincreaseinthepenetrationcapabilityof
2 3 2 3
A.Ferrousmetalsandalloys
TIGwelds. | TheactivatedTIGprocess canincreasethe jointpenetrationandthe welddepth-to-width
D.Welding
ratio,andtendstoreducetheangulardistortionofgrade2205stainlesssteelweldment.Theweldedjoint
G.Metallography
alsoexhibitedgreatermechanicalstrength.Theseresultssuggestthattheplasmacolumnandtheanode
rootareamechanismfordeterminingthemorphologyofactivatedTIGwelds. | 1.Introduction ing gas is limited to a 3mm depth for the butt-joint of stainless
steels[10,11].Iftheweldcurrentincreasesorthetravelspeedde-
Duplexstainlesssteeltypicallycomprisesmicrostructurescon- creases, the weld bead becomes excessively wide with relatively
sistingofapproximatelyequalproportionsofbody-centeredcubic littlegaininthepenetrationcapability. | ferriteandface-centeredcubicaustenite.Thesetwophasespossess Therefore,itisnecessarytoimprovethepenetrationcapability
varying affinities for alloying elements in duplex stainless steels and manufacturing productivity of TIG welding. | Austenite stabilizers, such as nickel and nitrogen, concen- notabletechniquesistouseactivatingfluxwithTIGwelding[7–
trate in the austenite structure, while ferrite stabilizers, such as 18]. | To make an activating flux, powder ingredients such oxides,
chromiumand molybdenum,concentrate in the ferrite structure. | ically results in a 200–300% increase in penetration capability
Thefabricationofmetalstructuresrequirestheextensiveuseof [17,20], therebyreducingweldtime,reducingcostsfor manufac-
various metal welding processes, and welding technology is an turers,andavoidingcast-to-castvariationsinbasematerialcom-
important part of materials development. | This process is one of the most involvingtheMarangoniconvectioneffect,andtheotherinvolving
populartechnologiesforweldingthinmaterialsinmanufacturing arcplasmabehavior.Thecurrenttheoryontheeffectoftheacti-
industriesbecauseitproduceshighqualitywelds.However,com- vating flux on Marangoni convection is that active surface ele-
paredwiththemetalinertgaswelding,theTIGweldinghaspoor ments such as oxygen or sulfur in the molten pool change the
joint penetration when welding thick materials in a single pass fluidflowpatternsbyalteringthesurfacetensiongradient,result-
[7–9].Generally,thesinglepassTIGweldingwithargonasshield- inginadeeppenetration[21–24].However,thereislittleresearch
ontheactionofarcplasma[25–27],andthemechanismssustain-
ing this effect remain unclear. | doi:10.1016/j.matdes.2010.05.056
256 T.-S.Chernetal./MaterialsandDesign32(2011)255–263
penetrationofTIGwelds.Amajorconcernforduplexstainlesssteel
isthatTIGweldingcandegradethestrengthandcorrosionresis-
tanceofthemicrostructuresbyproducingunbalancedferrite/aus-
tenite content in the weld metal. | The phase balance of the weld
metaliscriticaltomaintainingtheoriginalchemicalandphysical
propertiesofduplexstainlesssteel.Therefore,techniquesthatcon-
troltheferrite/austenitecontentoftheweldmetalareveryimpor-
tant.",
Activated_flux_TIG_welding_of_stainless_steel_pipe.pdf,,,"200, 400",,,,,,"SCIENTIFIC PAPER
ACTIVATED FLUX TIG WELDING OF STAINLESS STEEL PIPES
M. | 1
Abstract
In this work, the presence of TiO nano particle based activated flux combined with orbital welding of
2
seamless thick-walled pipes of stainless steel and low-cycle pulse current was done, representing a novel
combination of welding processes parameters. | The results show that the flux influences a
significant increase in penetration depth, up to the full penetration, which has a positive effect on the
increase in the tensile and bending properties of the weld metal. | Without the flux, grain enlargement
occurred near the surface, while with flux, it occurred under the weld, which can be attributed to
recrystallization and a reversed Marangoni convection. | Keywords: orbital welding, oxide coating, mechanical properties, depth of welding
Highlights:
• 20 nm TiO nano particles proved effective in increasing the penetration. | 2
• Activated flux is effective when combined with pulse current orbital TIG welding. | • The applied activated flux is effective with pulse current and without consumable. | • Weld properties obtained with the activated flux comply with relevant standards. | In A-TIG process, penetration is
increased, a lower electric energy consumption is achieved, no V-preparation and consumables are
needed. | the increase in weld penetration can be attributed to the
reversal of Marangoni convection [11,18].",
